threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
0.22	73	1	3	74	3	71	0	0	7.866666666666666	0.04054054054054054	1.0	0.07792207792207792	9.02542372881356
0.22	89	2	7	96	5	91	2	0	15.05	0.052083333333333336	0.7142857142857143	0.0970873786407767	6.046511627906977
0.22	97	3	6	132	5	127	1	0	23.066666666666666	0.03787878787878788	0.8333333333333334	0.07246376811594203	5.505780346820809
0.22	106	1	1	41	0	37	1	4	7.2	0.0	0.0	0.0	5.138888888888888
0.23	2	1	2	91	1	90	1	0	8.858333333333333	0.01098901098901099	0.5	0.021505376344086023	10.159924741298214
0.23	3	1	4	34	3	31	1	0	8.316666666666666	0.08823529411764706	0.75	0.15789473684210525	3.7274549098196395
0.23	4	1	1	66	1	65	0	0	8.258333333333333	0.015151515151515152	1.0	0.029850746268656716	7.870837537840566
0.23	5	1	0	50	0	48	0	2	7.733333333333333	0.0		0.0	6.206896551724138
0.23	15	2	5	72	5	67	0	0	16.616666666666667	0.06944444444444445	1.0	0.12987012987012986	4.0320962888666
0.23	17	1	3	114	0	114	3	0	8.966666666666667	0.0	0.0	0.0	12.71375464684015
0.23	37	1	0	83	0	82	0	1	7.991666666666666	0.0		0.0	10.260688216892596
0.23	40	1	0	83	0	82	0	1	7.133333333333334	0.0		0.0	11.495327102803738
0.23	44	1	0	79	0	79	0	0	8.558333333333334	0.0		0.0	9.23076923076923
0.23	48	1	0	37	0	35	0	2	7.341666666666667	0.0		0.0	4.767309875141884
0.23	55	1	0	58	0	58	0	0	7.416666666666667	0.0		0.0	7.820224719101123
0.23	64	1	5	70	4	66	1	0	8.983333333333333	0.05714285714285714	0.8	0.10666666666666667	7.346938775510205
0.23	73	1	3	72	3	69	0	0	7.866666666666666	0.041666666666666664	1.0	0.08	8.771186440677967
0.23	89	2	7	93	5	88	2	0	15.05	0.053763440860215055	0.7142857142857143	0.1	5.847176079734219
0.23	97	3	6	132	5	127	1	0	23.066666666666666	0.03787878787878788	0.8333333333333334	0.07246376811594203	5.505780346820809
0.23	106	1	1	40	0	36	1	4	7.2	0.0	0.0	0.0	5.0
0.24	2	1	2	91	1	90	1	0	8.858333333333333	0.01098901098901099	0.5	0.021505376344086023	10.159924741298214
0.24	3	1	4	31	3	28	1	0	8.316666666666666	0.0967741935483871	0.75	0.17142857142857143	3.366733466933868
0.24	4	1	1	60	1	59	0	0	8.258333333333333	0.016666666666666666	1.0	0.03278688524590164	7.144298688193744
0.24	5	1	0	47	0	45	0	2	7.733333333333333	0.0		0.0	5.818965517241379
0.24	15	2	5	69	5	64	0	0	16.616666666666667	0.07246376811594203	1.0	0.13513513513513514	3.8515546639919758
0.24	17	1	3	114	0	114	3	0	8.966666666666667	0.0	0.0	0.0	12.71375464684015
0.24	37	1	0	87	0	86	0	1	7.991666666666666	0.0		0.0	10.761209593326383
0.24	40	1	0	78	0	77	0	1	7.133333333333334	0.0		0.0	10.794392523364486
0.24	44	1	0	73	0	73	0	0	8.558333333333334	0.0		0.0	8.529698149951315
0.24	48	1	0	37	0	35	0	2	7.341666666666667	0.0		0.0	4.767309875141884
0.24	55	1	0	56	0	56	0	0	7.416666666666667	0.0		0.0	7.550561797752809
0.24	64	1	5	69	4	65	1	0	8.983333333333333	0.057971014492753624	0.8	0.10810810810810811	7.2356215213358075
0.24	73	1	3	66	3	63	0	0	7.866666666666666	0.045454545454545456	1.0	0.08695652173913043	8.008474576271187
0.24	89	2	7	93	5	88	2	0	15.05	0.053763440860215055	0.7142857142857143	0.1	5.847176079734219
0.24	97	3	6	130	5	125	1	0	23.066666666666666	0.038461538461538464	0.8333333333333334	0.07352941176470588	5.41907514450867
0.24	106	1	1	39	0	35	1	4	7.2	0.0	0.0	0.0	4.861111111111111
0.25	2	1	2	89	1	88	1	0	8.858333333333333	0.011235955056179775	0.5	0.02197802197802198	9.934148635936031
0.25	3	1	4	30	3	27	1	0	8.316666666666666	0.1	0.75	0.17647058823529413	3.246492985971944
0.25	4	1	1	56	1	55	0	0	8.258333333333333	0.017857142857142856	1.0	0.03508771929824561	6.659939455095863
0.25	5	1	0	44	0	42	0	2	7.733333333333333	0.0		0.0	5.431034482758621
0.25	15	2	5	65	5	60	0	0	16.616666666666667	0.07692307692307693	1.0	0.14285714285714285	3.6108324974924773
0.25	17	1	3	110	0	110	3	0	8.966666666666667	0.0	0.0	0.0	12.267657992565056
0.25	37	1	0	90	0	89	0	1	7.991666666666666	0.0		0.0	11.13660062565172
0.25	40	1	0	73	0	72	0	1	7.133333333333334	0.0		0.0	10.093457943925234
0.25	44	1	0	69	0	69	0	0	8.558333333333334	0.0		0.0	8.062317429406036
0.25	48	1	0	34	0	32	0	2	7.341666666666667	0.0		0.0	4.358683314415437
0.25	55	1	0	57	0	57	0	0	7.416666666666667	0.0		0.0	7.685393258426966
0.25	64	1	5	68	4	64	1	0	8.983333333333333	0.058823529411764705	0.8	0.1095890410958904	7.124304267161411
0.25	73	1	3	64	3	61	0	0	7.866666666666666	0.046875	1.0	0.08955223880597014	7.754237288135593
0.25	89	2	7	90	5	85	2	0	15.05	0.05555555555555555	0.7142857142857143	0.10309278350515463	5.647840531561462
0.25	97	3	6	133	5	128	1	0	23.066666666666666	0.03759398496240601	0.8333333333333334	0.07194244604316546	5.5491329479768785
0.25	106	1	1	36	0	32	1	4	7.2	0.0	0.0	0.0	4.444444444444445
0.26	2	1	2	86	1	85	1	0	8.858333333333333	0.011627906976744186	0.5	0.022727272727272728	9.595484477892757
0.26	3	1	4	27	3	24	1	0	8.316666666666666	0.1111111111111111	0.75	0.1935483870967742	2.8857715430861726
0.26	4	1	1	56	1	55	0	0	8.258333333333333	0.017857142857142856	1.0	0.03508771929824561	6.659939455095863
0.26	5	1	0	43	0	41	0	2	7.733333333333333	0.0		0.0	5.301724137931035
0.26	15	2	5	61	5	56	0	0	16.616666666666667	0.08196721311475409	1.0	0.15151515151515152	3.3701103309929787
0.26	17	1	3	109	0	109	3	0	8.966666666666667	0.0	0.0	0.0	12.156133828996282
0.26	37	1	0	95	0	94	0	1	7.991666666666666	0.0		0.0	11.762252346193952
0.26	40	1	0	71	0	70	0	1	7.133333333333334	0.0		0.0	9.813084112149532
0.26	44	1	0	64	0	64	0	0	8.558333333333334	0.0		0.0	7.47809152872444
0.26	48	1	0	31	0	29	0	2	7.341666666666667	0.0		0.0	3.95005675368899
0.26	55	1	0	56	0	56	0	0	7.416666666666667	0.0		0.0	7.550561797752809
