fusion	partition	subject	pid	cluster_index	event_time_sec	cluster_start_sec	cluster_stop_sec	cluster_span_sec	contributor_count	contributors	source_alarm_count	source_alarm_ids	retained
P6-H2-OR	validation	sub-25	17	22	29640.0	29640.0	29640.0	0.0	1	H2-D	1	H2-D:sub-25:29640.0	True
P6-H2-OR	validation	sub-25	17	23	30990.0	30990.0	30990.0	0.0	1	H2-D	1	H2-D:sub-25:30990.0	True
P6-H2-OR	validation	sub-25	17	24	31350.0	31350.0	31350.0	0.0	1	P6-D	1	P6-D:sub-25:31350.0	True
P6-H2-OR	validation	sub-25	17	25	32130.0	32130.0	32130.0	0.0	1	P6-D	1	P6-D:sub-25:32130.0	True
P6-H2-OR	validation	sub-25	17	26	32340.0	32340.0	32340.0	0.0	1	P6-D	1	P6-D:sub-25:32340.0	True
P6-H2-OR	validation	sub-4	2	0	1290.0	1290.0	1290.0	0.0	1	H2-D	1	H2-D:sub-4:1290.0	True
P6-H2-OR	validation	sub-4	2	1	3030.0	3030.0	3030.0	0.0	1	H2-D	1	H2-D:sub-4:3030.0	True
P6-H2-OR	validation	sub-4	2	2	4050.0	4050.0	4050.0	0.0	1	H2-D	1	H2-D:sub-4:4050.0	True
P6-H2-OR	validation	sub-4	2	3	5040.0	5040.0	5040.0	0.0	1	H2-D	1	H2-D:sub-4:5040.0	True
P6-H2-OR	validation	sub-4	2	4	5580.0	5580.0	5580.0	0.0	1	H2-D	1	H2-D:sub-4:5580.0	True
P6-H2-OR	validation	sub-4	2	5	6390.0	6390.0	6390.0	0.0	1	P6-D	1	P6-D:sub-4:6390.0	True
P6-H2-OR	validation	sub-4	2	6	10380.0	10380.0	10380.0	0.0	1	P6-D	1	P6-D:sub-4:10380.0	True
P6-H2-OR	validation	sub-4	2	7	11010.0	11010.0	11040.0	30.0	2	P6-D;H2-D	2	P6-D:sub-4:11010.0;H2-D:sub-4:11040.0	True
P6-H2-OR	validation	sub-4	2	8	11430.0	11430.0	11430.0	0.0	1	P6-D	1	P6-D:sub-4:11430.0	True
P6-H2-OR	validation	sub-4	2	9	11640.0	11640.0	11640.0	0.0	2	P6-D;H2-D	2	H2-D:sub-4:11640.0;P6-D:sub-4:11640.0	True
P6-H2-OR	validation	sub-4	2	10	11940.0	11940.0	11940.0	0.0	1	P6-D	1	P6-D:sub-4:11940.0	True
P6-H2-OR	validation	sub-4	2	11	12240.0	12240.0	12240.0	0.0	1	H2-D	1	H2-D:sub-4:12240.0	True
P6-H2-OR	validation	sub-4	2	12	13020.0	13020.0	13020.0	0.0	2	P6-D;H2-D	2	H2-D:sub-4:13020.0;P6-D:sub-4:13020.0	True
P6-H2-OR	validation	sub-4	2	13	15810.0	15810.0	15810.0	0.0	1	H2-D	1	H2-D:sub-4:15810.0	True
P6-H2-OR	validation	sub-4	2	14	16080.0	16080.0	16080.0	0.0	1	H2-D	1	H2-D:sub-4:16080.0	True
P6-H2-OR	validation	sub-4	2	15	18150.0	18150.0	18150.0	0.0	2	P6-D;H2-D	2	H2-D:sub-4:18150.0;P6-D:sub-4:18150.0	True
P6-H2-OR	validation	sub-4	2	16	21990.0	21990.0	21990.0	0.0	1	P6-D	1	P6-D:sub-4:21990.0	True
P6-H2-OR	validation	sub-4	2	17	22200.0	22200.0	22200.0	0.0	1	P6-D	1	P6-D:sub-4:22200.0	True
P6-H2-OR	validation	sub-4	2	18	23160.0	23160.0	23160.0	0.0	1	P6-D	1	P6-D:sub-4:23160.0	True
P6-H2-OR	validation	sub-4	2	19	23370.0	23370.0	23370.0	0.0	1	P6-D	1	P6-D:sub-4:23370.0	True
P6-H2-OR	validation	sub-4	2	20	23430.0	23430.0	23430.0	0.0	1	P6-D	1	P6-D:sub-4:23430.0	True
P6-H2-OR	validation	sub-4	2	21	23490.0	23490.0	23490.0	0.0	1	P6-D	1	P6-D:sub-4:23490.0	True
P6-H2-OR	validation	sub-4	2	22	23640.0	23640.0	23640.0	0.0	1	P6-D	1	P6-D:sub-4:23640.0	True
P6-H2-OR	validation	sub-4	2	23	23790.0	23790.0	23790.0	0.0	1	P6-D	1	P6-D:sub-4:23790.0	True
P6-H2-OR	validation	sub-4	2	24	23850.0	23850.0	23850.0	0.0	1	P6-D	1	P6-D:sub-4:23850.0	True
P6-H2-OR	validation	sub-4	2	25	23970.0	23970.0	23970.0	0.0	1	P6-D	1	P6-D:sub-4:23970.0	True
P6-H2-OR	validation	sub-4	2	26	24090.0	24090.0	24090.0	0.0	1	P6-D	1	P6-D:sub-4:24090.0	True
P6-H2-OR	validation	sub-4	2	27	24180.0	24180.0	24180.0	0.0	1	P6-D	1	P6-D:sub-4:24180.0	True
P6-H2-OR	validation	sub-4	2	28	24330.0	24330.0	24330.0	0.0	1	P6-D	1	P6-D:sub-4:24330.0	True
P6-H2-OR	validation	sub-4	2	29	24480.0	24480.0	24480.0	0.0	1	P6-D	1	P6-D:sub-4:24480.0	True
P6-H2-OR	validation	sub-4	2	30	24810.0	24810.0	24810.0	0.0	1	P6-D	1	P6-D:sub-4:24810.0	True
P6-H2-OR	validation	sub-4	2	31	24990.0	24990.0	24990.0	0.0	1	P6-D	1	P6-D:sub-4:24990.0	True
