method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
H2-D	frozen_direct_control	validation	expanded	15.0	2	1	2	13	1	12	1	0	8.858333333333333	0.07692307692307693	0.5	0.13333333333333333	1.354656632173095
H2-D	frozen_direct_control	validation	expanded	15.0	3	1	4	6	2	4	2	0	8.316666666666666	0.3333333333333333	0.5	0.4	0.4809619238476954
H2-D	frozen_direct_control	validation	expanded	15.0	4	1	1	15	0	15	1	0	8.258333333333333	0.0	0.0	0.0	1.8163471241170537
H2-D	frozen_direct_control	validation	expanded	15.0	5	1	3	43	2	41	1	0	7.733333333333333	0.046511627906976744	0.6666666666666666	0.08695652173913043	5.301724137931035
H2-D	frozen_direct_control	validation	expanded	15.0	15	2	5	9	2	7	3	0	16.616666666666667	0.2222222222222222	0.4	0.2857142857142857	0.42126379137412234
H2-D	frozen_direct_control	validation	expanded	15.0	17	1	3	14	0	14	3	0	8.966666666666667	0.0	0.0	0.0	1.5613382899628252
H2-D	frozen_direct_control	validation	expanded	15.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
H2-D	frozen_direct_control	validation	expanded	15.0	40	1	2	34	1	33	1	0	7.133333333333334	0.029411764705882353	0.5	0.05555555555555555	4.626168224299065
H2-D	frozen_direct_control	validation	expanded	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
H2-D	frozen_direct_control	validation	expanded	15.0	48	1	2	10	2	8	0	0	7.341666666666667	0.2	1.0	0.3333333333333333	1.0896708286038592
H2-D	frozen_direct_control	validation	expanded	15.0	55	1	0	10	0	10	0	0	7.416666666666667	0.0		0.0	1.348314606741573
H2-D	frozen_direct_control	validation	expanded	15.0	64	1	5	18	4	14	1	0	8.983333333333333	0.2222222222222222	0.8	0.34782608695652173	1.5584415584415585
H2-D	frozen_direct_control	validation	expanded	15.0	73	1	3	12	1	11	2	0	7.866666666666666	0.08333333333333333	0.3333333333333333	0.13333333333333333	1.3983050847457628
H2-D	frozen_direct_control	validation	expanded	15.0	89	2	7	27	2	25	5	0	15.05	0.07407407407407407	0.2857142857142857	0.11764705882352941	1.6611295681063123
H2-D	frozen_direct_control	validation	expanded	15.0	97	3	6	25	4	21	2	0	23.066666666666666	0.16	0.6666666666666666	0.25806451612903225	0.9104046242774566
H2-D	frozen_direct_control	validation	expanded	15.0	106	1	6	12	2	10	4	0	7.2	0.16666666666666666	0.3333333333333333	0.2222222222222222	1.3888888888888888
H2-D	frozen_direct_control	validation	expanded	45.0	2	1	2	13	1	12	1	0	8.858333333333333	0.07692307692307693	0.5	0.13333333333333333	1.354656632173095
H2-D	frozen_direct_control	validation	expanded	45.0	3	1	4	6	2	4	2	0	8.316666666666666	0.3333333333333333	0.5	0.4	0.4809619238476954
H2-D	frozen_direct_control	validation	expanded	45.0	4	1	1	15	0	15	1	0	8.258333333333333	0.0	0.0	0.0	1.8163471241170537
H2-D	frozen_direct_control	validation	expanded	45.0	5	1	3	43	3	40	0	0	7.733333333333333	0.06976744186046512	1.0	0.13043478260869565	5.172413793103448
H2-D	frozen_direct_control	validation	expanded	45.0	15	2	5	9	2	7	3	0	16.616666666666667	0.2222222222222222	0.4	0.2857142857142857	0.42126379137412234
H2-D	frozen_direct_control	validation	expanded	45.0	17	1	3	14	1	13	2	0	8.966666666666667	0.07142857142857142	0.3333333333333333	0.11764705882352941	1.449814126394052
H2-D	frozen_direct_control	validation	expanded	45.0	37	1	2	7	1	6	1	0	7.991666666666666	0.14285714285714285	0.5	0.2222222222222222	0.7507820646506779
H2-D	frozen_direct_control	validation	expanded	45.0	40	1	2	34	2	32	0	0	7.133333333333334	0.058823529411764705	1.0	0.1111111111111111	4.485981308411215
H2-D	frozen_direct_control	validation	expanded	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
H2-D	frozen_direct_control	validation	expanded	45.0	48	1	2	10	2	8	0	0	7.341666666666667	0.2	1.0	0.3333333333333333	1.0896708286038592
H2-D	frozen_direct_control	validation	expanded	45.0	55	1	0	10	0	10	0	0	7.416666666666667	0.0		0.0	1.348314606741573
H2-D	frozen_direct_control	validation	expanded	45.0	64	1	5	18	4	14	1	0	8.983333333333333	0.2222222222222222	0.8	0.34782608695652173	1.5584415584415585
