transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
134	sub-33	84	REM_to_Wake	10860.0	HB_1_vs_PSG_F3	available	0	0.0	0.6178566464786823	0.6178566464786823	True
135	sub-33	84	REM_to_Wake	17040.0	HB_1_vs_PSG_F3	available	0	0.0	0.5334932832875103	0.5334932832875103	True
136	sub-33	84	REM_to_Wake	18420.0	HB_1_vs_PSG_F3	available	0	0.0	0.48766484212502514	0.48766484212502514	True
137	sub-33	84	REM_to_Wake	22050.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.7341122265731467	0.7341122265731467	True
138	sub-33	84	REM_to_Wake	22500.0	HB_1_vs_PSG_F3	available	1	1.0	0.8036592938914059	0.8036592938914059	True
139	sub-33	84	REM_to_Wake	22950.0	HB_1_vs_PSG_F3	available	0	0.0	0.7653178002535542	0.7653178002535542	True
140	sub-33	84	REM_to_Wake	24030.0	HB_1_vs_PSG_F3	available	6	6.0	0.7424819395811483	0.7424819395811483	True
141	sub-36	84	REM_to_Wake	3450.0	HB_1_vs_PSG_F3	available	0	0.0	0.5192133576696806	0.5192133576696806	True
142	sub-36	84	REM_to_Wake	10410.0	HB_1_vs_PSG_F3	available	0	0.0	0.6109874266759906	0.6109874266759906	True
143	sub-36	84	REM_to_Wake	15270.0	HB_1_vs_PSG_F3	available	0	0.0	0.6680630653284291	0.6680630653284291	True
144	sub-36	84	Wake_to_REM	15300.0	HB_1_vs_PSG_F3	available	0	0.0	0.6290601644446792	0.6290601644446792	True
145	sub-36	84	REM_to_Wake	15360.0	HB_1_vs_PSG_F3	available	0	0.0	0.6617717888755134	0.6617717888755134	True
146	sub-36	84	REM_to_Wake	16200.0	HB_1_vs_PSG_F3	available	0	0.0	0.7676805127034297	0.7676805127034297	True
147	sub-36	84	REM_to_Wake	22200.0	HB_1_vs_PSG_F3	available	-4	-4.0	0.6293850998603869	0.6293850998603869	True
148	sub-36	84	REM_to_Wake	26760.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
149	sub-37	86	REM_to_Wake	11160.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8964038274888865	0.8964038274888865	True
150	sub-37	86	REM_to_Wake	15450.0	HB_1_vs_PSG_F3	available	0	0.0	0.8522323878462833	0.8522323878462833	True
151	sub-37	86	REM_to_Wake	19590.0	HB_1_vs_PSG_F3	available	0	0.0	0.573806475094266	0.573806475094266	True
152	sub-37	86	REM_to_Wake	23850.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8194586622959621	0.8194586622959621	True
153	sub-38	87	REM_to_Wake	21810.0	HB_1_vs_PSG_F3	available	1	1.0	0.799497486093927	0.799497486093927	True
154	sub-39	85	REM_to_Wake	26430.0	HB_1_vs_PSG_F3	available	1	1.0	0.7231983395924887	0.7231983395924887	True
155	sub-40	86	REM_to_Wake	16050.0	HB_1_vs_PSG_F3	available	7	7.0	0.8843924992239045	0.8843924992239045	True
156	sub-40	86	REM_to_Wake	22680.0	HB_1_vs_PSG_F3	available	1	1.0	0.7905933633310581	0.7905933633310581	True
157	sub-41	83	REM_to_Wake	13770.0	HB_1_vs_PSG_F3	available	1	1.0	0.7407789672182289	0.7407789672182289	True
