transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
197	sub-53	88	REM_to_Wake	1620.0	384000	445440	384000	445440	0	0	pass
198	sub-53	88	Wake_to_REM	1650.0	391680	453120	391680	453120	0	0	pass
199	sub-53	88	REM_to_Wake	18540.0	4715520	4776960	4715520	4776960	0	0	pass
200	sub-53	88	REM_to_Wake	18840.0	4792320	4853760	4792320	4853760	0	0	pass
201	sub-53	88	Wake_to_REM	18870.0	4800000	4861440	4800000	4861440	0	0	pass
202	sub-53	88	REM_to_Wake	19080.0	4853760	4915200	4853760	4915200	0	0	pass
203	sub-54	88	REM_to_Wake	10530.0	2664960	2726400	2664960	2726400	0	0	pass
204	sub-54	88	REM_to_Wake	17700.0	4500480	4561920	4500480	4561920	0	0	pass
205	sub-54	88	Wake_to_REM	17730.0	4508160	4569600	4508160	4569600	0	0	pass
206	sub-54	88	REM_to_Wake	20490.0	5214720	5276160	5214720	5276160	0	0	pass
207	sub-55	77	REM_to_Wake	15390.0	3909120	3970560	3909120	3970560	0	0	pass
208	sub-55	77	REM_to_Wake	22050.0	5614080	5675520	5614080	5675520	0	0	pass
209	sub-55	77	REM_to_Wake	28170.0	7180800	7242240	7180800	7242240	0	0	pass
210	sub-55	77	REM_to_Wake	29850.0	7610880	7672320	7610880	7672320	0	0	pass
211	sub-56	78	REM_to_Wake	19140.0	4869120	4930560	4869120	4930560	0	0	pass
212	sub-56	78	Wake_to_REM	19170.0	4876800	4938240	4876800	4938240	0	0	pass
213	sub-56	78	REM_to_Wake	21000.0	5345280	5406720	5345280	5406720	0	0	pass
214	sub-56	78	REM_to_Wake	25470.0	6489600	6551040	6489600	6551040	0	0	pass
215	sub-56	78	Wake_to_REM	25530.0	6504960	6566400	6504960	6566400	0	0	pass
216	sub-56	78	REM_to_Wake	25590.0	6520320	6581760	6520320	6581760	0	0	pass
217	sub-56	78	Wake_to_REM	26550.0	6766080	6827520	6766080	6827520	0	0	pass
218	sub-56	78	REM_to_Wake	26820.0	6835200	6896640	6835200	6896640	0	0	pass
219	sub-56	78	Wake_to_REM	26850.0	6842880	6904320	6842880	6904320	0	0	pass
220	sub-57	77	REM_to_Wake	14490.0	3678720	3740160	3678720	3740160	0	0	pass
221	sub-57	77	Wake_to_REM	14520.0	3686400	3747840	3686400	3747840	0	0	pass
222	sub-57	77	REM_to_Wake	22140.0	5637120	5698560	5637120	5698560	0	0	pass
