subject	pid	window_id	window_center_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
sub-49	29	1	2708.5	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.42060481084346873	0.42060481084346873	True
sub-49	29	2	8125.5	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6565591748753645	0.6565591748753645	True
sub-49	29	3	13542.5	HB_PULSE_vs_PSG_PULSE	available	-2	-0.0625	-0.29780285406684515	0.29780285406684515	True
sub-49	29	4	18959.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	-0.3023522814681169	0.3023522814681169	True
sub-49	29	5	24376.5	HB_PULSE_vs_PSG_PULSE	available	27	0.84375	-0.40368377110420395	0.40368377110420395	True
sub-50	88	1	2686.0	HB_PULSE_vs_PSG_PULSE	available	-80	-2.5	0.23930294142943367	0.23930294142943367	True
sub-50	88	2	8058.0	HB_PULSE_vs_PSG_PULSE	available	39	1.21875	0.2289030463078636	0.2289030463078636	True
sub-50	88	3	13430.0	HB_PULSE_vs_PSG_PULSE	available	-245	-7.65625	0.045086237232802716	0.045086237232802716	False
sub-50	88	4	18802.0	HB_PULSE_vs_PSG_PULSE	available	29	0.90625	-0.39182259205422326	0.39182259205422326	True
sub-50	88	5	24174.0	HB_PULSE_vs_PSG_PULSE	available	39	1.21875	0.15472740199441953	0.15472740199441953	False
sub-51	30	1	2686.0	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.4416041473945331	0.4416041473945331	True
sub-51	30	2	8058.0	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.7006631158993369	0.7006631158993369	True
sub-51	30	3	13430.0	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6200858809677355	0.6200858809677355	True
sub-51	30	4	18802.0	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.47587071829275884	0.47587071829275884	True
sub-51	30	5	24174.0	HB_PULSE_vs_PSG_PULSE	available	31	0.96875	-0.5465302248614645	0.5465302248614645	True
sub-52	31	1	2771.2000000000003	HB_PULSE_vs_PSG_PULSE	available	-2	-0.0625	-0.34428895101316626	0.34428895101316626	True
sub-52	31	2	8313.6	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.7525856095197936	0.7525856095197936	True
sub-52	31	3	13856.0	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.33166894354066717	0.33166894354066717	True
sub-52	31	4	19398.399999999998	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.44835546929346143	0.44835546929346143	True
sub-52	31	5	24940.8	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.5834017340968181	0.5834017340968181	True
sub-53	88	1	2000.8000000000002	HB_PULSE_vs_PSG_PULSE	available	62	1.9375	0.3790301395591781	0.3790301395591781	True
sub-53	88	2	6002.4	HB_PULSE_vs_PSG_PULSE	available	-39	-1.21875	0.33778387805598986	0.33778387805598986	True
sub-53	88	3	10004.0	HB_PULSE_vs_PSG_PULSE	available	36	1.125	0.44829859303470176	0.44829859303470176	True
sub-53	88	4	14005.599999999999	HB_PULSE_vs_PSG_PULSE	available	48	1.5	-0.05089762905577246	0.05089762905577246	False
sub-53	88	5	18007.2	HB_PULSE_vs_PSG_PULSE	available	24	0.75	-0.30303118090971626	0.30303118090971626	True
sub-54	88	1	2372.3	HB_PULSE_vs_PSG_PULSE	available	-61	-1.90625	-0.09634252929190457	0.09634252929190457	False
sub-54	88	2	7116.9	HB_PULSE_vs_PSG_PULSE	available	-27	-0.84375	-0.3644888344996849	0.3644888344996849	True
sub-54	88	3	11861.5	HB_PULSE_vs_PSG_PULSE	available	36	1.125	0.18960402470401896	0.18960402470401896	False
sub-54	88	4	16606.1	HB_PULSE_vs_PSG_PULSE	available	36	1.125	0.2958244201930136	0.2958244201930136	True
sub-54	88	5	21350.7	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.14303196091305723	0.14303196091305723	False
sub-55	77	1	3219.9	HB_PULSE_vs_PSG_PULSE	available	-4	-0.125	-0.18880603589205203	0.18880603589205203	False
sub-55	77	2	9659.699999999999	HB_PULSE_vs_PSG_PULSE	available	27	0.84375	-0.05344357853806703	0.05344357853806703	False
sub-55	77	3	16099.5	HB_PULSE_vs_PSG_PULSE	available	13	0.40625	0.44008020352812194	0.44008020352812194	True
sub-55	77	4	22539.3	HB_PULSE_vs_PSG_PULSE	available	34	1.0625	-0.37519500061627914	0.37519500061627914	True
sub-55	77	5	28979.100000000002	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-56	78	1	2874.7000000000003	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.6340680794846002	0.6340680794846002	True
sub-56	78	2	8624.1	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.6860091761003894	0.6860091761003894	True
sub-56	78	3	14373.5	HB_PULSE_vs_PSG_PULSE	available	49	1.53125	-0.05563854610425085	0.05563854610425085	False
sub-56	78	4	20122.899999999998	HB_PULSE_vs_PSG_PULSE	available	200	6.25	-0.10285927373710599	0.10285927373710599	False
sub-56	78	5	25872.3	HB_PULSE_vs_PSG_PULSE	available	30	0.9375	0.2233290774682412	0.2233290774682412	True
sub-57	77	1	3096.0	HB_PULSE_vs_PSG_PULSE	available	-30	-0.9375	-0.06972582803859234	0.06972582803859234	False
sub-57	77	2	9288.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	-0.17307337013304533	0.17307337013304533	False
sub-57	77	3	15480.0	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.35467112583916494	0.35467112583916494	True
sub-57	77	4	21672.0	HB_PULSE_vs_PSG_PULSE	available	2	0.0625	-0.3347996163047757	0.3347996163047757	True
sub-57	77	5	27864.0	HB_PULSE_vs_PSG_PULSE	available	3	0.09375	-0.4179798919275437	0.4179798919275437	True
sub-58	78	1	3016.2000000000003	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.5915227957824821	0.5915227957824821	True
sub-58	78	2	9048.6	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.5370738742863348	0.5370738742863348	True
sub-58	78	3	15081.0	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.3485711288783958	0.3485711288783958	True
sub-58	78	4	21113.399999999998	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.4346747788602068	0.4346747788602068	True
sub-58	78	5	27145.8	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6764909437032139	0.6764909437032139	True
sub-59	79	1	3173.0	HB_PULSE_vs_PSG_PULSE	available	7	0.21875	0.2053531616507697	0.2053531616507697	True
sub-59	79	2	9519.0	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.5668340022616225	0.5668340022616225	True
sub-59	79	3	15865.0	HB_PULSE_vs_PSG_PULSE	available	-3	-0.09375	-0.3426332253491667	0.3426332253491667	True
sub-59	79	4	22211.0	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.46252442003922123	0.46252442003922123	True
sub-59	79	5	28557.0	HB_PULSE_vs_PSG_PULSE	available	13	0.40625	0.21990114037483757	0.21990114037483757	True
sub-60	80	1	2768.5	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6876671139074009	0.6876671139074009	True
sub-60	80	2	8305.5	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.5287483070928475	0.5287483070928475	True
sub-60	80	3	13842.5	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.4451710105994696	0.4451710105994696	True
sub-60	80	4	19379.5	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6383271115361462	0.6383271115361462	True
sub-60	80	5	24916.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.6642272326112004	0.6642272326112004	True
sub-61	79	1	2846.7000000000003	HB_PULSE_vs_PSG_PULSE	available	-101	-3.15625	-0.15301647119352688	0.15301647119352688	False
sub-61	79	2	8540.1	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.6182054971416205	0.6182054971416205	True
sub-61	79	3	14233.5	HB_PULSE_vs_PSG_PULSE	available	22	0.6875	-0.05133041864160147	0.05133041864160147	False
sub-61	79	4	19926.899999999998	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.6686656481760014	0.6686656481760014	True
sub-61	79	5	25620.3	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.07729633206696304	0.07729633206696304	False
sub-62	80	1	2949.4	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.2467389199074614	0.2467389199074614	True
sub-62	80	2	8848.199999999999	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.5094550183047734	0.5094550183047734	True
sub-62	80	3	14747.0	HB_PULSE_vs_PSG_PULSE	available	-21	-0.65625	0.1260902666656995	0.1260902666656995	False
sub-62	80	4	20645.8	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.28217854192295866	0.28217854192295866	True
sub-62	80	5	26544.600000000002	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.6072367191313602	0.6072367191313602	True
sub-63	81	1	2666.1000000000004	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.19574592912301655	0.19574592912301655	False
sub-63	81	2	7998.299999999999	HB_PULSE_vs_PSG_PULSE	available	8	0.25	0.45650609219763066	0.45650609219763066	True
sub-63	81	3	13330.5	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.5170810567420265	0.5170810567420265	True
sub-63	81	4	18662.699999999997	HB_PULSE_vs_PSG_PULSE	available	44	1.375	0.058997726353278164	0.058997726353278164	False
sub-63	81	5	23994.9	HB_PULSE_vs_PSG_PULSE	available	34	1.0625	-0.424087056455522	0.424087056455522	True
sub-64	82	1	2658.2000000000003	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.5858692019826417	0.5858692019826417	True
sub-64	82	2	7974.599999999999	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.6383084432089087	0.6383084432089087	True
sub-64	82	3	13291.0	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.6579336559058859	0.6579336559058859	True
sub-64	82	4	18607.399999999998	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.35506103925788046	0.35506103925788046	True
sub-64	82	5	23923.8	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.522291857294546	0.522291857294546	True
sub-65	81	1	2693.0	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.11536475504062359	0.11536475504062359	False
sub-65	81	2	8079.0	HB_PULSE_vs_PSG_PULSE	available	-5	-0.15625	-0.3903779942327352	0.3903779942327352	True
sub-65	81	3	13465.0	HB_PULSE_vs_PSG_PULSE	available	-289	-9.03125	-0.05895888977006697	0.05895888977006697	False
sub-65	81	4	18851.0	HB_PULSE_vs_PSG_PULSE	available	36	1.125	-0.23101197653207914	0.23101197653207914	True
sub-65	81	5	24237.0	HB_PULSE_vs_PSG_PULSE	available	40	1.25	-0.2868465191495271	0.2868465191495271	True
sub-66	82	1	3244.6000000000004	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.4965628281794252	0.4965628281794252	True
