subject	pid	comparator	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-75	40	H2-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	11.307690263424863	3313920	True
sub-75	40	H2-BOTH-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	178.76714278488717	3313920	True
sub-75	40	H2-BOTH-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	35.75805630813194	3313920	True
sub-75	40	H2-BOTH-0DB	HB_1	0.0	3.857309866213148e-15	3.857309866213148e-15	565.3113420007796	3313920	True
sub-75	40	H2-BOTH-0DB	HB_2	0.0	3.857309866213148e-15	3.857309866213148e-15	113.07690263424863	3313920	True
sub-75	40	H2-HB1-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	178.76714278488717	3313920	True
sub-75	40	H2-HB2-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	35.75805630813194	3313920	True
sub-79	44	H2-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	8.65320541580439	3970560	True
sub-79	44	H2-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	9.619111373173544	3970560	True
sub-79	44	H2-BOTH-10DB	HB_1	10.0	10.000000000000007	7.105427357601002e-15	27.363838175246247	3970560	True
sub-79	44	H2-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	30.41830100605828	3970560	True
sub-79	44	H2-BOTH-0DB	HB_1	0.0	1.928654933106574e-15	1.928654933106574e-15	86.53205415804389	3970560	True
sub-79	44	H2-BOTH-0DB	HB_2	0.0	1.928654933106574e-15	1.928654933106574e-15	96.19111373173544	3970560	True
sub-79	44	H2-HB1-10DB	HB_1	10.0	10.000000000000007	7.105427357601002e-15	27.363838175246247	3970560	True
sub-79	44	H2-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	30.41830100605828	3970560	True
sub-82	48	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	6.864008749715161	3409920	True
