model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
H2-NA	train_oof	primary	15.0	0.72	82	64	180	2859	117	2710	63	32	629.4916666666667	0.04138662893526707	0.65	0.07781842367808448	4.305060961887237	0.0	0.0
H2-NA	train_oof	primary	15.0	0.73	82	64	180	2812	117	2663	63	32	629.4916666666667	0.0420863309352518	0.65	0.07905405405405405	4.230397542991038	0.0	0.0
H2-NA	train_oof	primary	15.0	0.74	82	64	180	2751	115	2604	65	32	629.4916666666667	0.042294961382861346	0.6388888888888888	0.0793377026560883	4.136671123525596	0.0	0.0
H2-NA	train_oof	primary	15.0	0.75	82	64	180	2717	114	2571	66	32	629.4916666666667	0.042458100558659215	0.6333333333333333	0.07958115183246073	4.084247871960179	0.0	0.0
H2-NA	train_oof	primary	15.0	0.76	82	64	180	2669	114	2523	66	32	629.4916666666667	0.04323094425483504	0.6333333333333333	0.08093716719914804	4.00799586968321	0.0	0.0
H2-NA	train_oof	primary	15.0	0.77	82	64	180	2614	113	2469	67	32	629.4916666666667	0.04376452362509682	0.6277777777777778	0.08182476466328747	3.9222123671216194	0.0	0.0
H2-NA	train_oof	primary	15.0	0.78	82	64	180	2578	113	2433	67	32	629.4916666666667	0.044383346425765906	0.6277777777777778	0.08290535583272193	3.865023365413892	0.0	0.0
H2-NA	train_oof	primary	15.0	0.79	82	64	180	2539	112	2395	68	32	629.4916666666667	0.04467491025129637	0.6222222222222222	0.08336434685522888	3.804657196944625	0.0	0.0
H2-NA	train_oof	primary	15.0	0.8	82	64	180	2495	111	2352	69	32	629.4916666666667	0.04506699147381242	0.6166666666666667	0.08399545970488081	3.7363481115715063	0.0	0.0
H2-NA	train_oof	primary	15.0	0.81	82	64	180	2459	108	2319	72	32	629.4916666666667	0.04449938195302843	0.6	0.08285385500575373	3.6839248600060897	0.0	0.0
H2-NA	train_oof	primary	15.0	0.82	82	64	180	2402	108	2262	72	32	629.4916666666667	0.04556962025316456	0.6	0.08470588235294117	3.593375607302188	0.0	0.0
H2-NA	train_oof	primary	15.0	0.83	82	64	180	2373	108	2233	72	32	629.4916666666667	0.04613413071337035	0.6	0.085680285600952	3.5473066892598526	0.0	0.0
H2-NA	train_oof	primary	15.0	0.84	82	64	180	2320	107	2181	73	32	629.4916666666667	0.046765734265734264	0.5944444444444444	0.08670988654781199	3.464700353459802	0.0	0.0
H2-NA	train_oof	primary	15.0	0.85	82	64	180	2268	106	2130	74	32	629.4916666666667	0.04740608228980322	0.5888888888888889	0.08774834437086093	3.383682601040522	0.0	0.0
H2-NA	train_oof	primary	15.0	0.86	82	64	180	2225	104	2089	76	32	629.4916666666667	0.04742362061103511	0.5777777777777777	0.0876527602191319	3.318550682428944	0.0	0.0
H2-NA	train_oof	primary	15.0	0.87	82	64	180	2167	103	2032	77	32	629.4916666666667	0.048243559718969556	0.5722222222222222	0.08898488120950324	3.2280014297250426	0.0	0.0
H2-NA	train_oof	primary	15.0	0.88	82	64	180	2113	101	1980	79	32	629.4916666666667	0.04853435848149928	0.5611111111111111	0.08934099955771782	3.1453950939249924	0.0	0.0
H2-NA	train_oof	primary	15.0	0.89	82	64	180	2054	101	1921	79	32	629.4916666666667	0.049950544015825916	0.5611111111111111	0.09173478655767484	3.0516686744595507	0.0	0.0
H2-NA	train_oof	primary	15.0	0.9	82	64	180	1976	100	1844	80	32	629.4916666666667	0.051440329218107	0.5555555555555556	0.09416195856873823	2.9293477541402453	0.0	0.0
H2-NA	train_oof	primary	15.0	0.91	82	64	180	1919	99	1788	81	32	629.4916666666667	0.05246422893481717	0.55	0.09579100145137881	2.8403870848171144	0.0	0.0
H2-NA	train_oof	primary	15.0	0.92	82	64	180	1859	97	1730	83	32	629.4916666666667	0.05309250136836344	0.5388888888888889	0.0966616841056303	2.748249248732443	0.0	0.0
H2-NA	train_oof	primary	15.0	0.93	82	64	180	1803	93	1679	87	31	629.4916666666667	0.05248306997742664	0.5166666666666667	0.09528688524590163	2.6672314963131627	0.0	0.0
H2-NA	train_oof	primary	15.0	0.94	82	64	180	1708	92	1585	88	31	629.4916666666667	0.054859868813357186	0.5111111111111111	0.0990845449649973	2.5179046585207643	0.0	0.0
H2-NA	train_oof	primary	15.0	0.95	82	64	180	1581	89	1461	91	31	629.4916666666667	0.05741935483870968	0.49444444444444446	0.10289017341040463	2.3209203193052597	0.0	0.0
H2-NA	train_oof	primary	15.0	0.96	82	64	180	1443	83	1330	97	30	629.4916666666667	0.05874026893135174	0.46111111111111114	0.10420590081607031	2.1128158964243635	0.0	0.0
H2-NA	train_oof	primary	15.0	0.97	82	64	180	1264	78	1156	102	30	629.4916666666667	0.06320907617504051	0.43333333333333335	0.11032531824611033	1.836402388170349	0.0	0.0
H2-NA	train_oof	primary	15.0	0.98	82	64	180	1086	72	984	108	30	629.4916666666667	0.06818181818181818	0.4	0.11650485436893204	1.563166046677875	0.0	0.0
H2-NA	train_oof	primary	15.0	0.99	82	64	180	856	60	766	120	30	629.4916666666667	0.07263922518159806	0.3333333333333333	0.11928429423459244	1.2168548696699717	0.0	0.0
