subject	pid	condition	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-33	84	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	3.7623096502765536	3363840	True
sub-33	84	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	4.24871561256388	3363840	True
sub-33	84	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	11.897467757705453	3363840	True
sub-33	84	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	13.435618466019369	3363840	True
sub-33	84	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	11.897467757705453	3363840	True
sub-33	84	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	13.435618466019369	3363840	True
sub-36	84	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	3.201339594465223	3436800	True
sub-36	84	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	3.5822087575306956	3436800	True
sub-36	84	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999995	5.329070518200751e-15	10.123524682189874	3436800	True
sub-36	84	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	11.327938727998845	3436800	True
sub-36	84	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999995	5.329070518200751e-15	10.123524682189874	3436800	True
sub-36	84	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	11.327938727998845	3436800	True
sub-38	87	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	20.56097209976704	3267840	True
sub-38	87	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	4.602423890950485	3267840	True
sub-38	87	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	65.01950274243863	3267840	True
sub-38	87	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	14.554142252977945	3267840	True
sub-38	87	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	65.01950274243863	3267840	True
sub-38	87	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	14.554142252977945	3267840	True
sub-39	85	TRAIN-BOTH-20DB	HB_1	20.0	20.0	0.0	6.581924322720207	3456000	True
sub-39	85	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	7.883454739267796	3456000	True
sub-39	85	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	20.813872246657	3456000	True
sub-39	85	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	24.929672806935088	3456000	True
sub-39	85	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	20.813872246657	3456000	True
sub-39	85	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	24.929672806935088	3456000	True
sub-42	84	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	3.6395683976353927	3432960	True
sub-42	84	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	4.449479079542692	3432960	True
sub-42	84	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	11.50932583649723	3432960	True
sub-42	84	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	14.070488292624418	3432960	True
sub-42	84	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	11.50932583649723	3432960	True
sub-42	84	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	14.070488292624418	3432960	True
sub-43	87	TRAIN-BOTH-20DB	HB_1	20.0	20.0	0.0	9.584254122499853	3168000	True
sub-43	87	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	6.345952439368062	3168000	True
sub-43	87	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	30.308072700957975	3168000	True
sub-43	87	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	20.06766363150465	3168000	True
sub-43	87	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	30.308072700957975	3168000	True
sub-43	87	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	20.06766363150465	3168000	True
sub-45	24	TRAIN-BOTH-20DB	HB_1	20.0	20.0	0.0	10.231823230082691	3148800	True
sub-45	24	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	7.969439804499462	3148800	True
sub-45	24	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	32.35586602328236	3148800	True
sub-45	24	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	25.201581457825306	3148800	True
sub-45	24	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	32.35586602328236	3148800	True
sub-45	24	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	25.201581457825306	3148800	True
sub-47	87	TRAIN-BOTH-20DB	HB_1	20.0	20.0	0.0	4.196526162789183	3068160	True
sub-47	87	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	2.909230062775032	3068160	True
sub-47	87	TRAIN-BOTH-10DB	HB_1	10.0	10.0	0.0	13.27058093490036	3068160	True
sub-47	87	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	9.199793235803735	3068160	True
sub-47	87	TRAIN-HB1-10DB	HB_1	10.0	10.0	0.0	13.27058093490036	3068160	True
sub-47	87	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	9.199793235803735	3068160	True
sub-49	29	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	6.866052479239843	3463680	True
sub-49	29	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	5.0918389561093	3463680	True
sub-49	29	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	21.71236436864387	3463680	True
sub-49	29	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	16.101808580079517	3463680	True
sub-49	29	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	21.71236436864387	3463680	True
sub-49	29	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	16.101808580079517	3463680	True
sub-52	31	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	4.015488724130918	3544320	True
sub-52	31	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	3.778386179542313	3544320	True
sub-52	31	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	12.698090286977232	3544320	True
sub-52	31	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	11.948306207055605	3544320	True
sub-52	31	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	12.698090286977232	3544320	True
sub-52	31	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	11.948306207055605	3544320	True
sub-56	78	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	9.896136569624334	3678720	True
sub-56	78	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	16.618943368631513	3678720	True
sub-56	78	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	31.29433159609837	3678720	True
sub-56	78	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	52.55371335022686	3678720	True
sub-56	78	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	31.29433159609837	3678720	True
sub-56	78	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	52.55371335022686	3678720	True
sub-58	78	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	9.128951393792885	3859200	True
sub-58	78	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	12.890957088645841	3859200	True
sub-58	78	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	28.86827905335423	3859200	True
sub-58	78	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	40.76478561961395	3859200	True
sub-58	78	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	28.86827905335423	3859200	True
sub-58	78	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	40.76478561961395	3859200	True
sub-59	79	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	5.207125847572943	3974400	True
