dataset	snapshot	subject	acquisition	relative_path	expected_bytes	local_bytes	partial_bytes	bytes_changed_this_run	status
ds005555	1.1.1	sub-69	headband	sub-69/eeg/sub-69_task-Sleep_acq-headband_eeg.edf	138777088	138777088	0	138777088	downloaded
ds005555	1.1.1	sub-69	psg	sub-69/eeg/sub-69_task-Sleep_acq-psg_eeg.edf	169616384	169616384	0	169616384	downloaded
ds005555	1.1.1	sub-70	headband	sub-70/eeg/sub-70_task-Sleep_acq-headband_eeg.edf	122999296	122999296	0	122999296	downloaded
ds005555	1.1.1	sub-70	psg	sub-70/eeg/sub-70_task-Sleep_acq-psg_eeg.edf	150332416	150332416	0	150332416	downloaded
ds005555	1.1.1	sub-71	headband	sub-71/eeg/sub-71_task-Sleep_acq-headband_eeg.edf	154024960	154024960	0	154024960	downloaded
ds005555	1.1.1	sub-71	psg	sub-71/eeg/sub-71_task-Sleep_acq-psg_eeg.edf	188252672	188252672	0	188252672	downloaded
ds005555	1.1.1	sub-72	headband	sub-72/eeg/sub-72_task-Sleep_acq-headband_eeg.edf	133565440	133565440	0	133565440	downloaded
ds005555	1.1.1	sub-72	psg	sub-72/eeg/sub-72_task-Sleep_acq-psg_eeg.edf	163246592	163246592	0	163246592	downloaded
ds005555	1.1.1	sub-73	headband	sub-73/eeg/sub-73_task-Sleep_acq-headband_eeg.edf	119607808	119607808	0	119607808	downloaded
ds005555	1.1.1	sub-73	psg	sub-73/eeg/sub-73_task-Sleep_acq-psg_eeg.edf	146187264	146187264	0	146187264	downloaded
ds005555	1.1.1	sub-74	headband	sub-74/eeg/sub-74_task-Sleep_acq-headband_eeg.edf	133980160	133980160	0	133980160	downloaded
ds005555	1.1.1	sub-74	psg	sub-74/eeg/sub-74_task-Sleep_acq-psg_eeg.edf	163753472	163753472	0	163753472	downloaded
ds005555	1.1.1	sub-75	headband	sub-75/eeg/sub-75_task-Sleep_acq-headband_eeg.edf	119414272	119414272	0	119414272	downloaded
ds005555	1.1.1	sub-75	psg	sub-75/eeg/sub-75_task-Sleep_acq-psg_eeg.edf	145950720	145950720	0	145950720	downloaded
ds005555	1.1.1	sub-76	headband	sub-76/eeg/sub-76_task-Sleep_acq-headband_eeg.edf	144901120	144901120	0	144901120	downloaded
ds005555	1.1.1	sub-76	psg	sub-76/eeg/sub-76_task-Sleep_acq-psg_eeg.edf	177101312	177101312	0	177101312	downloaded
ds005555	1.1.1	sub-77	headband	sub-77/eeg/sub-77_task-Sleep_acq-headband_eeg.edf	149075968	149075968	0	149075968	downloaded
ds005555	1.1.1	sub-77	psg	sub-77/eeg/sub-77_task-Sleep_acq-psg_eeg.edf	182203904	182203904	0	182203904	downloaded
ds005555	1.1.1	sub-78	headband	sub-78/eeg/sub-78_task-Sleep_acq-headband_eeg.edf	121778176	121778176	0	121778176	downloaded
ds005555	1.1.1	sub-78	psg	sub-78/eeg/sub-78_task-Sleep_acq-psg_eeg.edf	148839936	148839936	0	148839936	downloaded
ds005555	1.1.1	sub-79	headband	sub-79/eeg/sub-79_task-Sleep_acq-headband_eeg.edf	142951936	142951936	0	142951936	downloaded
ds005555	1.1.1	sub-79	psg	sub-79/eeg/sub-79_task-Sleep_acq-psg_eeg.edf	174718976	174718976	0	174718976	downloaded
ds005555	1.1.1	sub-80	headband	sub-80/eeg/sub-80_task-Sleep_acq-headband_eeg.edf	113479168	113479168	0	113479168	downloaded
ds005555	1.1.1	sub-80	psg	sub-80/eeg/sub-80_task-Sleep_acq-psg_eeg.edf	138696704	138696704	0	138696704	downloaded
ds005555	1.1.1	sub-81	headband	sub-81/eeg/sub-81_task-Sleep_acq-headband_eeg.edf	125206528	125206528	0	125206528	downloaded
ds005555	1.1.1	sub-81	psg	sub-81/eeg/sub-81_task-Sleep_acq-psg_eeg.edf	153030144	153030144	0	153030144	downloaded
ds005555	1.1.1	sub-82	headband	sub-82/eeg/sub-82_task-Sleep_acq-headband_eeg.edf	122865664	122865664	0	122865664	downloaded
ds005555	1.1.1	sub-82	psg	sub-82/eeg/sub-82_task-Sleep_acq-psg_eeg.edf	150169088	150169088	0	150169088	downloaded
ds005555	1.1.1	sub-83	headband	sub-83/eeg/sub-83_task-Sleep_acq-headband_eeg.edf	125980672	125980672	0	125980672	downloaded
ds005555	1.1.1	sub-83	psg	sub-83/eeg/sub-83_task-Sleep_acq-psg_eeg.edf	153976320	153976320	0	153976320	downloaded
ds005555	1.1.1	sub-84	headband	sub-84/eeg/sub-84_task-Sleep_acq-headband_eeg.edf	140698624	140698624	0	140698624	downloaded
ds005555	1.1.1	sub-84	psg	sub-84/eeg/sub-84_task-Sleep_acq-psg_eeg.edf	171964928	171964928	0	171964928	downloaded
ds005555	1.1.1	sub-85	headband	sub-85/eeg/sub-85_task-Sleep_acq-headband_eeg.edf	149504512	149504512	0	149504512	downloaded
ds005555	1.1.1	sub-85	psg	sub-85/eeg/sub-85_task-Sleep_acq-psg_eeg.edf	182727680	182727680	0	182727680	downloaded
ds005555	1.1.1	sub-86	headband	sub-86/eeg/sub-86_task-Sleep_acq-headband_eeg.edf	130579456	130579456	0	130579456	downloaded
ds005555	1.1.1	sub-86	psg	sub-86/eeg/sub-86_task-Sleep_acq-psg_eeg.edf	159597056	159597056	0	159597056	downloaded
ds005555	1.1.1	sub-87	headband	sub-87/eeg/sub-87_task-Sleep_acq-headband_eeg.edf	132431872	132431872	0	132431872	downloaded
ds005555	1.1.1	sub-87	psg	sub-87/eeg/sub-87_task-Sleep_acq-psg_eeg.edf	161861120	161861120	0	161861120	downloaded
ds005555	1.1.1	sub-88	headband	sub-88/eeg/sub-88_task-Sleep_acq-headband_eeg.edf	124026880	124026880	0	124026880	downloaded
ds005555	1.1.1	sub-88	psg	sub-88/eeg/sub-88_task-Sleep_acq-psg_eeg.edf	151588352	151588352	0	151588352	downloaded
ds005555	1.1.1	sub-89	headband	sub-89/eeg/sub-89_task-Sleep_acq-headband_eeg.edf	134745088	134745088	0	134745088	downloaded
ds005555	1.1.1	sub-89	psg	sub-89/eeg/sub-89_task-Sleep_acq-psg_eeg.edf	164688384	164688384	0	164688384	downloaded
ds005555	1.1.1	sub-90	headband	sub-90/eeg/sub-90_task-Sleep_acq-headband_eeg.edf	143785984	143785984	0	143785984	downloaded
ds005555	1.1.1	sub-90	psg	sub-90/eeg/sub-90_task-Sleep_acq-psg_eeg.edf	175738368	175738368	0	175738368	downloaded
ds005555	1.1.1	sub-91	headband	sub-91/eeg/sub-91_task-Sleep_acq-headband_eeg.edf	141256192	141256192	0	141256192	downloaded
ds005555	1.1.1	sub-91	psg	sub-91/eeg/sub-91_task-Sleep_acq-psg_eeg.edf	172646400	172646400	0	172646400	downloaded
ds005555	1.1.1	sub-92	headband	sub-92/eeg/sub-92_task-Sleep_acq-headband_eeg.edf	136675840	136675840	0	136675840	downloaded
ds005555	1.1.1	sub-92	psg	sub-92/eeg/sub-92_task-Sleep_acq-psg_eeg.edf	167048192	167048192	0	167048192	downloaded
ds005555	1.1.1	sub-93	headband	sub-93/eeg/sub-93_task-Sleep_acq-headband_eeg.edf	121510912	121510912	0	121510912	downloaded
ds005555	1.1.1	sub-93	psg	sub-93/eeg/sub-93_task-Sleep_acq-psg_eeg.edf	148513280	148513280	0	148513280	downloaded
ds005555	1.1.1	sub-94	headband	sub-94/eeg/sub-94_task-Sleep_acq-headband_eeg.edf	138975232	138975232	0	138975232	downloaded
ds005555	1.1.1	sub-94	psg	sub-94/eeg/sub-94_task-Sleep_acq-psg_eeg.edf	169858560	169858560	0	169858560	downloaded
ds005555	1.1.1	sub-95	headband	sub-95/eeg/sub-95_task-Sleep_acq-headband_eeg.edf	135947776	135947776	0	135947776	downloaded
ds005555	1.1.1	sub-95	psg	sub-95/eeg/sub-95_task-Sleep_acq-psg_eeg.edf	166158336	166158336	0	166158336	downloaded
