model	partition	membership	tolerance_sec	threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	15.0	0.98	80	2	2	5	0	5	2	0	15.274999999999999	0.0	0.0	0.0	0.32733224222585927
LR-OOF	train_oof	primary	15.0	0.98	81	2	1	93	1	91	0	1	14.666666666666668	0.010869565217391304	1.0	0.021505376344086023	6.204545454545454
LR-OOF	train_oof	primary	15.0	0.98	82	2	4	2	1	1	3	0	16.066666666666666	0.5	0.25	0.3333333333333333	0.06224066390041494
LR-OOF	train_oof	primary	15.0	0.98	84	3	20	6	2	4	18	0	22.03333333333333	0.3333333333333333	0.1	0.15384615384615385	0.18154311649016644
LR-OOF	train_oof	primary	15.0	0.98	85	1	0	4	0	4	0	0	7.383333333333334	0.0		0.0	0.5417607223476297
LR-OOF	train_oof	primary	15.0	0.98	87	3	0	89	0	88	0	1	20.333333333333336	0.0		0.0	4.327868852459016
LR-OOF	train_oof	primary	15.0	0.98	91	2	0	6	0	6	0	0	16.46666666666667	0.0		0.0	0.36437246963562747
LR-OOF	train_oof	primary	15.0	0.98	92	2	19	9	4	5	15	0	16.325000000000003	0.4444444444444444	0.21052631578947367	0.2857142857142857	0.3062787136294027
LR-OOF	train_oof	primary	15.0	0.98	93	2	0	44	0	42	0	2	17.008333333333333	0.0		0.0	2.46937775600196
LR-OOF	train_oof	primary	15.0	0.98	94	1	2	2	1	1	1	0	6.891666666666667	0.5	0.5	0.5	0.14510278113663846
LR-OOF	train_oof	primary	15.0	0.98	95	1	0	0	0	0	0	0	7.025				0.0
LR-OOF	train_oof	primary	15.0	0.98	96	3	10	32	1	31	9	0	22.8	0.03125	0.1	0.047619047619047616	1.3596491228070176
LR-OOF	train_oof	primary	15.0	0.98	98	3	6	15	1	13	5	1	20.616666666666667	0.07142857142857142	0.16666666666666666	0.1	0.6305578011317704
LR-OOF	train_oof	primary	15.0	0.98	99	3	7	10	3	7	4	0	21.2	0.3	0.42857142857142855	0.35294117647058826	0.33018867924528306
LR-OOF	train_oof	primary	15.0	0.98	100	1	0	8	0	7	0	1	7.383333333333334	0.0		0.0	0.9480812641083521
LR-OOF	train_oof	primary	15.0	0.98	101	1	0	2	0	2	0	0	7.241666666666666	0.0		0.0	0.27617951668584584
LR-OOF	train_oof	primary	15.0	0.98	104	1	3	4	0	4	3	0	8.008333333333333	0.0	0.0	0.0	0.49947970863683666
LR-OOF	train_oof	primary	15.0	0.98	108	1	1	8	0	8	1	0	6.716666666666667	0.0	0.0	0.0	1.1910669975186103
LR-OOF	train_oof	primary	45.0	0.98	1	1	4	21	3	17	1	1	8.25	0.15	0.75	0.25	2.0606060606060606
LR-OOF	train_oof	primary	45.0	0.98	6	1	0	1	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	primary	45.0	0.98	8	1	0	57	0	55	0	2	8.083333333333334	0.0		0.0	6.804123711340206
LR-OOF	train_oof	primary	45.0	0.98	9	1	3	23	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	primary	45.0	0.98	10	1	3	12	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	primary	45.0	0.98	11	1	6	12	1	11	5	0	8.408333333333333	0.08333333333333333	0.16666666666666666	0.1111111111111111	1.3082259663032705
LR-OOF	train_oof	primary	45.0	0.98	13	1	2	8	1	7	1	0	8.675	0.125	0.5	0.2	0.8069164265129682
LR-OOF	train_oof	primary	45.0	0.98	14	1	1	7	0	7	1	0	8.558333333333334	0.0	0.0	0.0	0.8179162609542356
LR-OOF	train_oof	primary	45.0	0.98	16	1	2	18	2	16	0	0	7.716666666666667	0.1111111111111111	1.0	0.2	2.073434125269978
LR-OOF	train_oof	primary	45.0	0.98	19	1	3	7	2	5	1	0	7.875	0.2857142857142857	0.6666666666666666	0.4	0.6349206349206349
LR-OOF	train_oof	primary	45.0	0.98	20	1	1	3	0	3	1	0	7.1	0.0	0.0	0.0	0.4225352112676057
LR-OOF	train_oof	primary	45.0	0.98	21	1	0	72	0	69	0	3	9.175	0.0		0.0	7.5204359673024515
LR-OOF	train_oof	primary	45.0	0.98	24	1	1	9	1	8	0	0	6.716666666666667	0.1111111111111111	1.0	0.2	1.1910669975186103
LR-OOF	train_oof	primary	45.0	0.98	29	1	2	8	2	6	0	0	7.458333333333333	0.25	1.0	0.4	0.8044692737430168
LR-OOF	train_oof	primary	45.0	0.98	31	1	3	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	primary	45.0	0.98	32	1	5	40	5	34	0	1	7.641666666666667	0.1282051282051282	1.0	0.22727272727272727	4.449291166848419
LR-OOF	train_oof	primary	45.0	0.98	33	1	2	13	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	primary	45.0	0.98	34	1	0	11	0	10	0	1	8.3	0.0		0.0	1.2048192771084336
LR-OOF	train_oof	primary	45.0	0.98	35	1	2	1	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	primary	45.0	0.98	36	1	3	20	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	primary	45.0	0.98	38	1	1	2	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	primary	45.0	0.98	39	1	2	2	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	primary	45.0	0.98	42	1	0	16	0	15	0	1	8.925	0.0		0.0	1.6806722689075628
LR-OOF	train_oof	primary	45.0	0.98	43	1	2	7	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
LR-OOF	train_oof	primary	45.0	0.98	45	1	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	primary	45.0	0.98	46	1	5	14	2	9	3	3	7.483333333333333	0.18181818181818182	0.4	0.25	1.2026726057906458
LR-OOF	train_oof	primary	45.0	0.98	50	1	1	6	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
LR-OOF	train_oof	primary	45.0	0.98	51	1	1	6	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	primary	45.0	0.98	53	1	0	1	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	primary	45.0	0.98	54	1	1	15	0	14	1	1	7.916666666666667	0.0	0.0	0.0	1.768421052631579
LR-OOF	train_oof	primary	45.0	0.98	58	1	5	3	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	primary	45.0	0.98	59	1	3	7	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	primary	45.0	0.98	60	1	3	2	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	primary	45.0	0.98	61	1	0	19	0	17	0	2	8.316666666666666	0.0		0.0	2.0440881763527057
LR-OOF	train_oof	primary	45.0	0.98	62	1	4	6	0	5	4	1	8.133333333333333	0.0	0.0	0.0	0.6147540983606558
LR-OOF	train_oof	primary	45.0	0.98	63	1	4	21	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	primary	45.0	0.98	65	1	7	19	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	primary	45.0	0.98	66	1	0	4	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LR-OOF	train_oof	primary	45.0	0.98	67	1	4	15	2	12	2	1	8.241666666666667	0.14285714285714285	0.5	0.2222222222222222	1.4560161779575327
LR-OOF	train_oof	primary	45.0	0.98	68	1	5	3	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
LR-OOF	train_oof	primary	45.0	0.98	71	1	0	1	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
