transition_id	transition	boundary_onset_sec	source	channel	window_start_sec	window_end_sec	window_seconds	sfreq_hz	expected_samples	actual_samples	finite_fraction	missing_samples	min_value	p01_value	median_value	p99_value	max_value	peak_to_peak	std	mad	outlier_fraction_10mad	low_diff_fraction	quality_flag
4	REM_to_Wake	18840.0	headband	HB_2	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.0003494163424124515	-0.0001342284275577937	-2.746623941407347e-07	0.00014261570153353159	0.00032442206454566237	0.0006738384069581139	4.8772767455370115e-05	2.1194781414511328e-05	0.009781901041666667	0.010140138999658198	pass_basic
4	REM_to_Wake	18840.0	headband	HB_PULSE	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-16.076333257038236	-7.905127031357302	0.025749599450662766	5.766308079652088	27.263103685053775	43.33943694209201	2.801828733973262	1.3962005035477225	0.005501302083333334	0.08785950292159703	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_F3	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.0011373450759746696	-0.001040531893705653	-0.0010128232932631416	-0.0009870509564660103	-0.0009507293211871516	0.00018661575478751797	9.58828790803469e-06	5.007578393224823e-06	0.0032063802083333332	0.01793648985172285	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_F4	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.0011901322194247349	-0.0010247886972533761	-0.0009532696444647898	-0.0008749328183413444	-0.0005954034256504158	0.000594728793774319	2.641750891281093e-05	6.242251468680784e-06	0.026692708333333332	0.01713895082927782	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_C3	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.00021616540779736019	-2.9346150911726556e-05	-9.277485313191425e-07	3.501029983978027e-05	9.155413138017853e-05	0.0003077195391775387	1.2771695002745743e-05	7.519645990691996e-06	0.0007486979166666667	0.007259232734907794	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_C4	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.001129637729503319	-0.0010026241692378123	-0.0009484647073929965	-0.0009140995666285194	-0.0005538154308537428	0.0005758222986495762	2.2587946094018272e-05	5.2235013962005465e-06	0.017350260416666666	0.018506160582040722	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_O1	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.0001719264515144579	-2.758831158922713e-05	-9.277485313191425e-07	5.098808270389873e-05	0.0002544472419317922	0.0004263736934462501	1.636937324039161e-05	6.445410849164568e-06	0.008251953125	0.021273132700727553	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_O2	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.001497450439844358	-0.0013573851860440985	-0.0013427041254474707	-0.0013279663812191958	-0.001271452800466926	0.000225997639377432	6.069191531311799e-06	3.1175997405965584e-06	0.0036458333333333334	0.023551815621999057	pass_basic
4	REM_to_Wake	18840.0	psg	PSG_EOG	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.0003608131876859694	-6.993104890638601e-05	0.00020832343817807263	0.0005176994712956436	0.0006627153545586326	0.001023528542244602	7.851957448527258e-05	1.4047447257190806e-05	0.06695963541666666	0.029460114910724457	many_extreme_points
4	REM_to_Wake	18840.0	psg	PSG_EMG	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.002381530479896239	-0.0007275062180514229	1.9043259327077131e-06	0.00033800906385900696	0.0031999999999999997	0.0055815304798962385	0.00022912647011674893	1.9043259327077133e-05	0.046337890625	0.07415485278080698	pass_basic
