subject	role	exists	bytes	relative_path
sub-24	psg_channels	True	327	sub-24/eeg/sub-24_task-Sleep_acq-psg_channels.tsv
sub-24	psg_sidecar	True	498	sub-24/eeg/sub-24_task-Sleep_acq-psg_eeg.json
sub-24	psg_events_json	True	1022	sub-24/eeg/sub-24_task-Sleep_acq-psg_events.json
sub-24	psg_events_tsv	True	29265	sub-24/eeg/sub-24_task-Sleep_acq-psg_events.tsv
sub-25	scan_metadata	True	93	sub-25/sub-25_scans.tsv
sub-25	headband_channels	True	237	sub-25/eeg/sub-25_task-Sleep_acq-headband_channels.tsv
sub-25	headband_sidecar	True	513	sub-25/eeg/sub-25_task-Sleep_acq-headband_eeg.json
sub-25	headband_events_json	True	837	sub-25/eeg/sub-25_task-Sleep_acq-headband_events.json
sub-25	headband_events_tsv	True	31932	sub-25/eeg/sub-25_task-Sleep_acq-headband_events.tsv
sub-25	psg_channels	True	327	sub-25/eeg/sub-25_task-Sleep_acq-psg_channels.tsv
sub-25	psg_sidecar	True	498	sub-25/eeg/sub-25_task-Sleep_acq-psg_eeg.json
sub-25	psg_events_json	True	1022	sub-25/eeg/sub-25_task-Sleep_acq-psg_events.json
sub-25	psg_events_tsv	True	34051	sub-25/eeg/sub-25_task-Sleep_acq-psg_events.tsv
sub-26	scan_metadata	True	93	sub-26/sub-26_scans.tsv
sub-26	headband_channels	True	237	sub-26/eeg/sub-26_task-Sleep_acq-headband_channels.tsv
sub-26	headband_sidecar	True	513	sub-26/eeg/sub-26_task-Sleep_acq-headband_eeg.json
sub-26	headband_events_json	True	837	sub-26/eeg/sub-26_task-Sleep_acq-headband_events.json
sub-26	headband_events_tsv	True	28545	sub-26/eeg/sub-26_task-Sleep_acq-headband_events.tsv
sub-26	psg_channels	True	327	sub-26/eeg/sub-26_task-Sleep_acq-psg_channels.tsv
sub-26	psg_sidecar	True	498	sub-26/eeg/sub-26_task-Sleep_acq-psg_eeg.json
sub-26	psg_events_json	True	1022	sub-26/eeg/sub-26_task-Sleep_acq-psg_events.json
sub-26	psg_events_tsv	True	30499	sub-26/eeg/sub-26_task-Sleep_acq-psg_events.tsv
sub-27	scan_metadata	True	93	sub-27/sub-27_scans.tsv
sub-27	headband_channels	True	70	sub-27/eeg/sub-27_task-Sleep_acq-headband_channels.tsv
sub-27	headband_sidecar	True	513	sub-27/eeg/sub-27_task-Sleep_acq-headband_eeg.json
sub-27	headband_events_json	True	837	sub-27/eeg/sub-27_task-Sleep_acq-headband_events.json
sub-27	headband_events_tsv	True	27946	sub-27/eeg/sub-27_task-Sleep_acq-headband_events.tsv
sub-27	psg_channels	True	327	sub-27/eeg/sub-27_task-Sleep_acq-psg_channels.tsv
sub-27	psg_sidecar	True	498	sub-27/eeg/sub-27_task-Sleep_acq-psg_eeg.json
sub-27	psg_events_json	True	1022	sub-27/eeg/sub-27_task-Sleep_acq-psg_events.json
sub-27	psg_events_tsv	True	29859	sub-27/eeg/sub-27_task-Sleep_acq-psg_events.tsv
sub-28	scan_metadata	True	93	sub-28/sub-28_scans.tsv
sub-28	headband_channels	True	70	sub-28/eeg/sub-28_task-Sleep_acq-headband_channels.tsv
sub-28	headband_sidecar	True	513	sub-28/eeg/sub-28_task-Sleep_acq-headband_eeg.json
sub-28	headband_events_json	True	837	sub-28/eeg/sub-28_task-Sleep_acq-headband_events.json
sub-28	headband_events_tsv	True	25182	sub-28/eeg/sub-28_task-Sleep_acq-headband_events.tsv
sub-28	psg_channels	True	327	sub-28/eeg/sub-28_task-Sleep_acq-psg_channels.tsv
sub-28	psg_sidecar	True	498	sub-28/eeg/sub-28_task-Sleep_acq-psg_eeg.json
sub-28	psg_events_json	True	1022	sub-28/eeg/sub-28_task-Sleep_acq-psg_events.json
sub-28	psg_events_tsv	True	26887	sub-28/eeg/sub-28_task-Sleep_acq-psg_events.tsv
sub-29	scan_metadata	True	93	sub-29/sub-29_scans.tsv
sub-29	headband_channels	True	70	sub-29/eeg/sub-29_task-Sleep_acq-headband_channels.tsv
sub-29	headband_sidecar	True	513	sub-29/eeg/sub-29_task-Sleep_acq-headband_eeg.json
sub-29	headband_events_json	True	837	sub-29/eeg/sub-29_task-Sleep_acq-headband_events.json
sub-29	headband_events_tsv	True	32776	sub-29/eeg/sub-29_task-Sleep_acq-headband_events.tsv
sub-29	psg_channels	True	327	sub-29/eeg/sub-29_task-Sleep_acq-psg_channels.tsv
sub-29	psg_sidecar	True	498	sub-29/eeg/sub-29_task-Sleep_acq-psg_eeg.json
sub-29	psg_events_json	True	1022	sub-29/eeg/sub-29_task-Sleep_acq-psg_events.json
sub-29	psg_events_tsv	True	34851	sub-29/eeg/sub-29_task-Sleep_acq-psg_events.tsv
sub-30	scan_metadata	True	93	sub-30/sub-30_scans.tsv
sub-30	headband_channels	True	237	sub-30/eeg/sub-30_task-Sleep_acq-headband_channels.tsv
sub-30	headband_sidecar	True	513	sub-30/eeg/sub-30_task-Sleep_acq-headband_eeg.json
sub-30	headband_events_json	True	837	sub-30/eeg/sub-30_task-Sleep_acq-headband_events.json
sub-30	headband_events_tsv	True	24406	sub-30/eeg/sub-30_task-Sleep_acq-headband_events.tsv
