analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	train	81	1781	0.35915963518654836	0.3969941810009908	0.27942683074496877	1769	0.38627156571540855	0.4825499081987332	0.30332132511660115	-12	0.027111930528860184	0.0855557271977424	0.02389449437163238
v0.1	train	82	1956	0.37781026792424666	0.4621627356878045	0.3299063301344861	1940	0.42557032940845135	0.5148390378127521	0.3732438699691296	-16	0.0477600614842047	0.05267630212494756	0.0433375398346435
v0.1	train	84	2665	0.4070143449557159	0.4790301000000774	0.4257247198657169	2653	0.5172296470148658	0.5741109303025578	0.609325580824583	-12	0.11021530205914992	0.09508083030248038	0.18360086095886607
v0.1	train	85	900	0.3068614368529977	0.49036522073181954	0.18220305556285998	892	0.34746980830167906	0.5402779391474007	0.21448901632298523	-8	0.040608371448681346	0.0499127184155812	0.03228596076012524
v0.1	train	87	2475	0.34220852990361006	0.3929222491800223	0.2998626869474742	2455	0.4224970331404996	0.4759440481075862	0.44852858102527327	-20	0.08028850323688952	0.08302179892756395	0.14866589407779907
v0.1	train	91	1990	0.2796355960954796	0.3651094982583433	0.14202500075360813	1982	0.34702478199692044	0.3712453364563997	0.16839897415853222	-8	0.06738918590144083	0.006135838198056354	0.02637397340492409
v0.1	train	92	1987	0.4226907685436637	0.6444519148659592	0.37459555423857693	1971	0.46482803788664284	0.680925928660013	0.4666664239847401	-16	0.04213726934297912	0.036474013794053795	0.09207086974616319
v0.1	train	93	2055	0.5280134155692452	0.5901700226650165	0.49099142770468274	2047	0.6269843419688241	0.7361991314960925	0.5761651350352497	-8	0.09897092639957894	0.146029108831076	0.08517370733056695
v0.1	train	94	834	0.3943207570885696	0.5032474394301758	0.3831506840479124	830	0.4899258786696195	0.5993414203383529	0.45300452095058585	-4	0.09560512158104989	0.09609398090817711	0.06985383690267344
v0.1	train	95	850	0.41641698872421495	0.6131484153422393	0.42980428417321614	846	0.4826082669876562	0.7011515896886386	0.5269218739633585	-4	0.06619127826344123	0.08800317434639926	0.0971175897901424
